,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,Asia,310240,11504,11351,349,150611,148278,6655,,,,,0413
1,North America,627064,28769,25112,1636,47293,554659,13863,,,,,0413
2,Europe,907386,26276,79989,3221,231946,595451,29807,,,,,0413
3,South America,54694,4113,2248,167,7061,45385,1153,,,,,0413
4,Oceania,7799,67,66,3,4041,3692,84,,,,,0413
5,Africa,15944,862,838,47,3045,12061,178,,,,,0413
6,,721,,14,,639,68,7,,,,,0413
7,World,1923848,71591,119618,5423,444636,1359594,51747,247,153,,,0413
8,China,82160,108,3341,2,77663,1156,121,57,2,,,0413
9,USA,586941,26641,23640,1535,36948,526353,12772,1773,71,2943955,8894,0413
10,Spain,170099,3268,17756,547,64727,87616,7371,3638,380,600000,12833,0413
11,Italy,159516,3153,20465,566,35435,103616,3260,2638,338,1046910,17315,0413
12,France,136779,4188,14967,574,27718,94094,6821,2095,229,333807,5114,0413
13,Germany,130072,2218,3194,172,64300,62578,4895,1552,38,1317887,15730,0413
14,UK,88621,4342,11329,717,,76948,1559,1305,167,367667,5416,0413
15,Iran,73303,1617,4585,111,45983,22735,3877,873,55,275427,3279,0413
16,Turkey,61049,4093,1296,98,3957,55796,1786,724,15,410556,4868,0413
17,Belgium,30589,942,3903,303,6707,19979,1234,2639,337,102151,8814,0413
18,Netherlands,26551,964,2823,86,250,23478,1358,1550,165,115992,6769,0413
19,Switzerland,25688,273,1138,32,13700,10850,386,2968,131,193800,22393,0413
20,Canada,25680,1297,780,63,7756,17144,557,680,21,437475,11591,0413
21,Brazil,23430,1238,1328,105,173,21929,296,110,6,62985,296,0413
22,Russia,18328,2558,148,18,1470,16710,8,126,1,1300000,8908,0413
23,Portugal,16934,349,535,31,277,16122,188,1661,52,182707,17918,0413
24,Austria,14041,96,368,18,7343,6330,239,1559,41,148412,16479,0413
25,Israel,11586,441,116,13,1855,9615,181,1339,13,117339,13557,0413
26,Sweden,10948,465,919,20,381,9648,859,1084,91,54700,5416,0413
27,Ireland,10647,992,365,31,25,10257,194,2156,74,72000,14581,0413
28,S. Korea,10537,25,217,3,7447,2873,55,206,4,514621,10038,0413
29,India,10453,1248,358,27,1181,8914,,8,03,189111,137,0413
30,Peru,9784,2265,216,23,2642,6926,143,297,7,87116,2642,0413
